Year, city1                                  , city2                                  , nsmiles, fare
2024, "Boston, MA (Metropolitan Area)"       , "Miami, FL (Metropolitan Area)"        ,    1283, 223.23
2024, "Boston, MA (Metropolitan Area)"       , "Los Angeles, CA (Metropolitan Area)"  ,    2611, 306.2
2024, "Boston, MA (Metropolitan Area)"       , "Cincinnati, OH"                       ,     752, 283.91
2024, "Boston, MA (Metropolitan Area)"       , "Tampa, FL (Metropolitan Area)"        ,    1204, 216.94
2024, "Boston, MA (Metropolitan Area)"       , "Kansas City, MO"                      ,    1256, 279.03
2024, "Boston, MA (Metropolitan Area)"       , "San Antonio, TX"                      ,    1764, 228.8
2024, "Boston, MA (Metropolitan Area)"       , "Milwaukee, WI"                        ,     860, 187.35
2024, "Boston, MA (Metropolitan Area)"       , "New Orleans, LA"                      ,    1371, 246.28
2024, "Boston, MA (Metropolitan Area)"       , "San Diego, CA"                        ,    2588, 333.12
2024, "Boston, MA (Metropolitan Area)"       , "Norfolk, VA (Metropolitan Area)"      ,     487, 236.98
2024, "Boston, MA (Metropolitan Area)"       , "West Palm Beach/Palm Beach, FL"       ,    1222, 260.74
2024, "Boston, MA (Metropolitan Area)"       , "Portland, OR"                         ,    2537, 315.91
2024, "Boston, MA (Metropolitan Area)"       , "Philadelphia, PA"                     ,     289, 194.3
2024, "Boston, MA (Metropolitan Area)"       , "Raleigh/Durham, NC"                   ,     625, 228.81
2024, "Boston, MA (Metropolitan Area)"       , "Richmond, VA"                         ,     487, 171.2
2024, "Boston, MA (Metropolitan Area)"       , "Salt Lake City, UT"                   ,    2105, 399.36
2024, "Boston, MA (Metropolitan Area)"       , "Savannah, GA"                         ,     917, 235.46
2024, "Boston, MA (Metropolitan Area)"       , "Sarasota/Bradenton, FL"               ,    1240, 264.64
2024, "Burlington, VT"                       , "Washington, DC (Metropolitan Area)"   ,     441, 338.52
2024, "Burlington, VT"                       , "New York City, NY (Metropolitan Area)",     266, 246.23
2024, "Buffalo, NY"                          , "Phoenix, AZ"                          ,    1912, 273.03
2024, "Buffalo, NY"                          , "Washington, DC (Metropolitan Area)"   ,     296, 197.04
2024, "Buffalo, NY"                          , "Chicago, IL"                          ,     474, 179.45
2024, "Buffalo, NY"                          , "New York City, NY (Metropolitan Area)",     326, 166.45
2024, "Buffalo, NY"                          , "Miami, FL (Metropolitan Area)"        ,    1185, 217.13
2024, "Buffalo, NY"                          , "Los Angeles, CA (Metropolitan Area)"  ,    2218, 295.3
2024, "Buffalo, NY"                          , "Tampa, FL (Metropolitan Area)"        ,    1053, 195.81
2024, "Bozeman, MT"                          , "Phoenix, AZ"                          ,     861, 121.4
2024, "Bozeman, MT"                          , "New York City, NY (Metropolitan Area)",    1902, 435.38
2024, "Bozeman, MT"                          , "San Francisco, CA (Metropolitan Area)",     807, 219.75
2024, "Bozeman, MT"                          , "Los Angeles, CA (Metropolitan Area)"  ,     908, 159.91
2024, "Washington, DC (Metropolitan Area)"   , "West Palm Beach/Palm Beach, FL"       ,     883, 258.47
2024, "Columbia, SC"                         , "Washington, DC (Metropolitan Area)"   ,     438, 265.25
2024, "Columbia, SC"                         , "New York City, NY (Metropolitan Area)",     638, 256.52
2024, "Chicago, IL"                          , "Dallas/Fort Worth, TX"                ,     802, 178.27
2024, "Chicago, IL"                          , "Pittsburgh, PA"                       ,     413, 165.5
2024, "Chicago, IL"                          , "Denver, CO"                           ,     895, 150.56
2024, "Chicago, IL"                          , "Tucson, AZ"                           ,    1440, 268.42
2024, "Chicago, IL"                          , "Phoenix, AZ"                          ,    1444, 207.87
2024, "Chicago, IL"                          , "Hartford, CT"                         ,     783, 225.58
2024, "Chicago, IL"                          , "Seattle, WA"                          ,    1733, 208.42
2024, "Chicago, IL"                          , "El Paso, TX"                          ,    1237, 237.47
2024, "Chicago, IL"                          , "Cleveland, OH (Metropolitan Area)"    ,     343, 175.98
2024, "Chicago, IL"                          , "Nashville, TN"                        ,     409, 177.81
2024, "Chicago, IL"                          , "Washington, DC (Metropolitan Area)"   ,     622, 185.74
2024, "Chicago, IL"                          , "Columbus, OH"                         ,     296, 163.54
2024, "Chicago, IL"                          , "St. Louis, MO"                        ,     258, 190.78
2024, "Chicago, IL"                          , "Jacksonville, FL"                     ,     864, 224.16
2024, "Chicago, IL"                          , "Detroit, MI"                          ,     235, 191.82
2024, "Chicago, IL"                          , "Houston, TX"                          ,     945, 193.89
2024, "Chicago, IL"                          , "Orlando, FL"                          ,    1005, 187.51
2024, "Chicago, IL"                          , "Minneapolis/St. Paul, MN"             ,     349, 168.57
2024, "Chicago, IL"                          , "New York City, NY (Metropolitan Area)",     773, 217.43
2024, "Chicago, IL"                          , "Fort Myers, FL"                       ,    1120, 245.45
2024, "Chicago, IL"                          , "Las Vegas, NV"                        ,    1521, 204.38
